id,description
54876,"Full and half days, before and after school, infant care, food served, transportation provided. Vpk program."
54877,"Full and half days, drop in, before and after school, infant care, food served, transportation."
54880,"Full day, before and after school, infant care, food served. Vpk program."
54890,Provides child care services to children ages 2 months to 5 years. Also provides summer peace camp.
54894,We supply food to people with little or no income. We seek and accept donations of good quality food and redistribute it as the lord provides.
54895,Sylvan abbey united methodist food pantry.
54896,Home food delivery for six months with possibility of 3 month extention. Also provides spiritual encouragement.
54897,Provides emergency food for families and seniors in need. Application for food stamps must be proven if second request for assistance occurs within a short time of the first request.
54903,Senior dining sites and meals on wheels available.
54998,Provides distribution of surplus commodities throughout clay county.
55000,"Provides home delivered meals and nutrition education to elderly who are handicapped, physically or mentally, homebound, living alone, or with others, who need help in the preparation of meals."
55012,Provides food for the needy. Also takes applications on tuesdays to qualify families for the hearts and hands program.
55030,Emergency food services program
55044,"Provides a three day supply of emergency food to persons in need, regardless of address, race, or sex. Outreach program of st. Giles episcopal church."
55046,Soup kitchen provided for the homeless and those in need.
55050,"A bag of food is provided. The amount of food given depends on the family, or individual. Clothing may also be provided."
55054,Provides hot meal throughout the northern Pinellas area. Meals are available everyday at no charge.
55059,Helps the needs of those who wrestle with incontinence.
55262,"Referrals for persons receiving ssi to obtain a room with access to home and laundry facility. Beautiful home in clermont, florida."
55268,Assist with downpayment and closing cost for eligible first time homebuyers. Assist with rehabilitation services for eligible homeowners.
55277,"A service that helps adults who have disabilities make a successful transition from group homes to their own apartments. These services are available in pinellas, hillsborough and pasco counties"
55281,"Clear credit, budgeting preparations for financial acceptance for mortgage approval"
55287,"Provides an aids care and education program, a representative payee program and refugee and immigrant services."
55301,A low income apartment complex with efficiency and one bedroom apartments.
55479,"Touch of angels home care, inc."
55524,"United Way of North Central Florida that is a Florida nonprofit corporation organized for the purpose of advancing the common good by focusing on education, income, and health."
55698,Provides information and referral services to the community over the telephone.
55709,Volunteer attorneys review completed pro se family law forms and answer procedural questions. Appointments are necessary.
55724,"Combination of supplemental foods, nutrition counseling and education, breastfeeding promotion and support and referrals to health and social services."
55740,"Assesses, certifies and issues wic vouchers to eligible clients, breastfeeding education, support and nutrition counseling."
55761,Thrift store. Donations of items are accepted.
55781,The thrift shop is a volunteer activity of the parish which provides high quality goods at low prices as well as funds for Safety Harbor church and community outreach and other activities.
55782,"The thrift store offers opportunities for employment, allows the community to recycle used merchandise and provides clients with job training and work skill development."
55784,"The thrift store offers opportunities for employment, allows the community to recycle used merchandise and provide clients with job training and work skill development."
55787,"Thrift shoppe provides the sale of donated items such as used furniture, dishes, clothing, miscellaneous items to support thte pregnancy center programs. Donations are tax deductible."
55965,Thrift shop with clothing and furniture. Provide vouchers for case managed aids clients.
55974,Sells used and secondhand clothing and household items. Accepts donations of items to be sold.
55975,Provides emergency food to persons in need. Also has a thrift shop for persons to buy clothing.
55978,"Administrative office and provides training employment and services to people with disabilities, special needs, and the homeless. Additionally, provides thrift stores to the public."
55981,Home health care provider specializing in skilled nursing and physical therapy services.
55982,AngMar is a large home health agency. Contact them to learn more.
55984,"Encompasses three major areas of care, which include a full service assisted living residence, a full service skilled nursing center and home health services."
55987,"Offers nursing care, physical therapy, occupational therapy, speech pathology, medical social, and home health aide services."
55997,Provides general household repair services and special building projects for church members and local residents in need.
56005,Universal Design Solutions supports the community by volunteering with various nonprofit organizations in order to help rebuild for the elderly and underprivileged in the community.
56011,"Educating, advocating, ensuring access to immigrant care. This is a bia approved site for the processing of papers for immigrants"
56021,"Provides training in independent living, vocational and academics with the goal of assisting those who are blind seeking employment."
56028,"Assists students and families in making their academic, personal and vocational choices, and explores with students their abilities and limitations and their various opportunities."
56049,Offers job counseling and placement to those in need.
56243,Specializes in the placement of skilled professionals in a variety of positions.
56265,Vocational rehabilitation and employment readiness for disabled citizens
56635,"Offer services if you ever get caught in legal hassles and look to a supportive plan to bail you out with regard to attorney fees, etc."
56638,Legal representation to fight an insurance company or governmental agency to get the benefits a client is entitled to.
56647,Legal representation is provided for eligible clients to adjust their immigration status and protects human rights of immigrants.
56649,"New to you resale store provides clothing, furniture and household items to clients issued certificates from the barnabas crisis center. The store will pick up items too large to be dropped off."
56659,The clothes closet provides clothing to persons in need.
56664,A food ministry that prepares and serves lunch every friday. Also gives away clothing to those in need.
56668,"The open arms resource center offers food, cleaning supplies, personal care items in addition to gently used clothing, blankets, linens, shoes, socks and jackets."
56674,"Btsic provides clothing, uniforms, backpacks, school supplies, shoes, undergarments, socks, toiletries and outerwear throughout the school year to lake county students in need."
56677,"Sale of clothing, furniture, household items, etc."
56858,"Household goods, furniture, sheets, pillows, spreads, pots and pans, wheelchairs and patio chairs, as available."
56860,"Provides food, clothing and spiritual counseling for needy people. Also provides financial counseling."
56898,Bay pines va healthcare system
56906,The program provides medical services for the uninsured. Patients must meet the criteria of the low income pool grant.
56911,Provides financial assistance to transplant patients. Promotes donor awareness.
57051,"Information line regarding home education. Caller to education hotline can leave information and, a packet will be sent to them."
57054,"Provides parent training, support, encouragement, coaching, survival techniques and child mentoring."
57055,"We provide parenting skills training for parents that have strong willed, defiant, and out of control children. Monthly parenting conferences and weekly support groups for parents."
57079,Health and medical services provided by the florida department of health for lake county residents
57080,"Practical and emotional assistance with unconditional love to women, men and children experiencing unplanned pregnancy by compassionately presenting godly choices. Free pregnancy tests."
57090,Child support enforcement
57101,Provides public library services and online searchable database via library website.
57103,Provides public library services and an online searchable database via the website.
57108,"Provide free lending of books and materials, literacy assistance and story telling for children."
57111,"Provides free lending of books and materials, literacy assistance and story telling for children."
57116,"Provides free lending of books and materials, literacy assistance and story telling for children"
57125,Reading services for those with a disability.
57370,Provides public library services including public internet access.
57372,Provides public library services. Located inside the beach recreation center.
57429,"Program provides one time rent, mortgage or utility payment assistance for eligible orange county residents. If eligible, assistance is granted once every two years."
57440,A residential facility that provides individualized training and assistance in all skill areas with supports which allow natural opportunities for community integration.
57687,"They provide senior services, financial assistance, youth services, and provide food for the needy. These services are available to everyone in the First Coast community."
57689,The Neighborly Care Network is an organization that has a wheels on meals programs for seniors.
57696,"Services such as case management, personal care, homemaking, respite, and companionship are provided in individual client homes."
57708,Provides group homes for emotionally and behaviorally disturbed adolescents.
57741,Supportive housing for homeless families in clay county
57745,Can help with shelter or temporary housing and a variety of outreach services for the homeless.
57758,Transitional housing for adults in substance abuse recovery.
57856,Homeless shelters are temporary residences of desperation for homeless people which seek to protect vulnerable populations from the often devastating effects of homelessness.
57861,"Provides permanent supportive housing, case management, and a speakers bureau for chronically homeless adults."
57865,Provides afternoon showers for homeless persons.
57868,Shelter for women and their children
57882,Shelter plus care phase ii vouchers provides rental assistance and support services for individuals who have been homeless and who have a mental illness.
57886,"Provides housing and supportive services to homeless, pregnant women and teens, new mothers with infants, and families experiencing crisis pregnancies."
57898,The Phoenix House Florida provides rehabilitation for those with drug or mental health problems. The program is known to be affordable. Outpatient and inpatient programs are available.
57912,A state certified domestic violence program. The program stresses a power and control model curriculum.
57919,"Support Group For Men And Women With Cancer, Their Caregivers And Friends, Who Are Helping Each Other To Cope With This Disease And Raise The Awareness Needed For Early Detection And Cure."
58021,Provides support and information sharing for the loved ones and caregivers of those suffering with brain injury.
58022,Provides support and information sharing for the loved ones and caregivers of those suffering with the degenerative neurological disorder ALS.
58046,Provides programs designed to prevent and cure diabetes and to improve the lives of all people affected by diabetes.
58056,Support group for those infected and affected by hiv and aids
58065,Support groups for those diagnosed with the chornic autoimmune illness known as lupus.
58088,"Provides a support group for children who have lost a parent through death, divorce or separation."
58285,A support group for those who are struggling with grief.
58326,The Brain Injury Association of Florida offers support and general counseling for people who have been involved in a brain injury.
58327,"Provides professional, compassionate care to terminally ill patients at home, in nursing homes and in hospital settings."
58329,End of life care
58335,Christian counseling center with trained lay counselors under the supervision of a degreed mental health counselor.
58370,"Provides services for victims of domestic violence, counseling, support groups, and advocacy."
58463,"Offers substance abuse programs, outpatient therapy, group counseling, and aftercare. Also, some workshops for parenting, anger management, and impulse control."
58478,"The American Lung Association Is The Leading Organization Working To Save Lives By Improving Lung Health And Preventing Lung Disease Through Education, Advocacy And Research."
58479,"Monthly education and support for recovering stroke victims, their families, and caregivers."
58489,"This program provides a wide range of classes, exercise, support groups, workshops, and networking groups for someone currently or previously diagnosed with cancer."
58493,"Counseling, crisis intervention, pregnancy prevention and childbirth education, doula support services to pregnant and parenting teens in north county enrolled in a pinellas county school."
58496,"Meeting the spiritural, practical and emotional needs of people living with hiv"
58519,"Intensive outpatient therapy for mental health services. Group therapy only for a wide vairety of issues including substance abuse, depression, caregiver stress, and more."
58662,Emergency financial assistance.
58665,Emergency home energy assistance for elders program provides financial assistance with utility deposits and past due bills.
58675,Determination of need is made on an individual basis and all information is verified.
58684,"VA administers a variety of benefits and services for service members, veterans, and their dependents and survivors."
58688,The program prevents veterans from becoming homeless by providing housing and support. Financial help is available for veterans demonstrating the inability to pay for rent and utilities.
58697,"Provides protection and hope for 5, 800 children annually through programs including shelter for abused and neglected children, case management, foster care, adoption, mentoring and counseling."
58702,"Provides programs for domestic violence, anger management, and life skills."
58712,Provides adult wellness programs and personal and social development of youth.
58719,"At colvin health group, we work every day to give you the toolsthrough education, training and consultingto reach your personal or organizational wellness goals."
58724,Reduce truancy rate and crime among school children during school hours.
58771,"Provides recreational activities while improving personal and social development of youth, and community wellness programs."
58780,Hubbard House can hep all victims of domestic violence.
58789,Aims to provide children with a focus and opportunity to work play and pray together.
58797,Provides recreational activities while improving personal and social development of youth and family wellness activities.
58807,"Organize and credential thousands of local transportation providers to serve specialized groups of people, who require all kinds of personal mobility solutions"
59120,"Primary Care, Behavioral Health and Dental Care"
59124,"Primary Care, Specialty care, Special Services"
59509,"We cater to the special needs of children. In addition to routine dental care, we also provide advanced care and specialty services such as sedation and hospital based dentistry."
59515,"Family Practice, Dental Care, Family Planning, and Lab"
59535,"Comprehensive restorative and preventive dentistry, ages 3 and up"
59558,School based health services
59886,"Pediatrics, Adolescent Medicine, Adult Medicine, Geriatric Care, Social Services, Case Management, Health Education, Dental Referrals, Specialty Referrals, Health Physicals and Screenings."
59889,"Dental, Pediatrics, ER Diversion, Pharmacy"
59923,"Health Services Only Offered during School Year, Not Summer"
59924,"Behavioral Health, Chronic Conditions, Emergency Services, Immunizations, Mental Health, and Primary Health Care"
60208,"Adult Medicine, Pediatrics, and limited Pharmacy Services"
60209,Adult Medicine And Pediatrics
60210,"Adult Medicine, Pediatrics and Dental"
60225,OB Services Only
60476,"Housing, case management, testing"
60493,"Family Health, Pediatric, Immunizations, Dental, and Pharmacy"
60696,"The Glaucoma Research Foundation provides support to those diagnosed with Glaucoma. We can provide links, contacts and materials to help overcome the issues of this disease."
60700,The Library for the Blind and physically handicapped is a network of cooperating libraries. These libraries provide a variety of audio and braille materials for eligible people by mail.
60704,"The National Eye Care Project helps provide free eye care to seniors age 65 or older that have not seen an eye doctor in more than 3 years, and also lack insurance."
66032,Quality United Education offers an after school program as well as a summer camp for children ages 5 to 15.
66080,"After School homework help, tutoring, and learning activities. Transportation offered."
66249,"Offers sports, arts and crafts, indoor and outdoor activities, and some field trips."
66263,"KidzAct, provides classes to develop performance skills and to provide opportunities to perform on stage."
66374,"Offers dancing, drama and ESOL classes for toddlers and dancing for senior citizens. The centers are the 21st Street Community Center, 2100 Washington Avenue."
66378,Provides an adult literacy program.
66384,An Adult Day Care under the supervision of licensed personnel specialized in the care of the elder in a family oriented environment.
66412,Easter Seals South Florida provides comprehensive services for chidren and adults with disabilities and their families.
66418,Blind Sailing Unlimited provides sailing opportunities for people who are blind and visually impaired.
66423,The Darrell Gwynn Foundation is dedicated to supporting people with paralysis by giving the gift of mobility and assisting patients recovering from spinal cord injuries.
66425,This is a recreational social club for developmentally disabled adults.
66580,"The Lupus Foundation of America is dedicated to improving the quality of life for all people affected by lupus through programs of research, education and advocacy."
66583,Hospice care to eligible terminally ill patients.
66585,"Adult English Language and Literacy Classes, small group format, all levels. Rosetta Stone Computer Lab optional."
66587,English class instruction done in small groups and with computer lab.
66615,Provides assistance to refugees and other immigrants.
66619,"This program connects you to an attorney who can advise a person of their rights and assist with bankruptcy process, how to handle pending lawsuits for collection, foreclosure or repossession."
66623,"Credit counseling agency that provides financial education, services, and coaching to financially challenged individuals"
66627,"Provides Training and Counseling. Includes workshops and one on one counseling for homebuyer assistance, home ownership and foreclosure prevention and mitigation."
66630,Provides food via one grocery bag of food once a month.
66636,"First Baptist Church of Islamorada is a Christ centered, Southern Baptist Church located in the Florida Keys."
66642,The Fulford Food Pantry assists in the needs of community by distributing dry and canned goods to those in need.
66646,"Groceries, fresh produce, and bakery products provided to households in need. One visit per household as often as every two weeks if needed."
66725,"Adult Education offers ED Preparation, English Classes, and Citizenship Preparation."
66726,"The purpose of this course is to improve the advanced ESOL students ability to communicate in English, and allow them to acquire secondary level English language skills."
66735,"Provides free crisis counseling along with useful information and referral 24 hours a day, 365 days a year."
66738,Offers Bereavement Support To Any One Coping With The Loss Of A Loved One.
66744,"Recapturing the Vision provides case management, group, and individual counseling. Also provides prayers enforcing healthy marriages."
66766,"Provides individual and family counseling, crisis intervention provided at school, home, and community settings. Also provides psychological assessments and truancy home studies."
66769,"Offers outpatient individual, group and family counseling. Psychiatrists are accessible Monday through Friday afternoons at clinic for consultation."
66771,"Dade Family Counseling Mental Health Center provides a partial hospitilization program, medication management, substance abuse program, individual, family and marital counseling."
66773,"Specialized treatment for children and adolescents, including Individual, group and family therapy."
66776,"Individual, group and family counseling, therapeutic recreational activities and cultural activities, tutoring, parenting classes and psychological evaluation."
66783,"Services include congregate meals, food stamps assistance, nutrition education, health screenings, respite care, recreation activities for seniors age 60 or older."
66875,"Diabetes Self Management Classes will assist in managing diabetes through blood glucose monitoring, meal planning and exercise education."
66901,Flipany provides nutrition and physical fitness education to South Florida communities.
67157,"After school program combines academic enrichment, homework help, tutorial services, cultural arts, life skills and recreational programs for students attending this middle school."
67182,Child care for children birth to 5 years.
67186,Smart Starts Day School is a privately owned corporation whose objective is to provide quality educational child care services to the community.
67195,Happy Kids Early Childhood Center offers childhood education.
67225,"When day care costs are too high, there is help. The National Association of Child Care Resources will help caller find payment assistance programs."
67230,The Matthew 25 Ministry offers feeding to the homeless.
67331,"Nutritious daily meal five days a week and two frozen meals for weekend for ill, disabled, elderly, or homebound individuals."
67336,"Provides congregate meals, outreach, transportation, shopping assistance, recreation, education, arts and crafts, health support, and information and referral."
67338,"Provides congregate meals, outreach, shopping assistance, recreation, education, arts and crafts, information and referral, food vouchers, and home delivered meals."
67341,"Financial aid available to low families, help with receiving food stamps. Required to complete and verify an application."
67346,Services provided only to residents at Palmer House.
67352,MCC Key West provides a variety of programs to feed the hungry. Please call for information on current assistance available.
67354,"Provider is temporarily offering food distribution to service sites, and not providing direct services. Services will resume in Spring 2014."
67360,"Children Need Good Food All Year Long, Even When Theyre Not In School. The Summer Food Service Program Provides Healthy Meals To Children Age 18 And Younger, Free Of Charge."
67372,"Dialysis Food Foundation vision is to eliminate hunger and provide nutritionally balanced meals, to all those dialysis patients who through circumstances cannot provide for themselves."
67373,"Provides assistance with daily living. Also provides meals, utilities, activities, and medical care coordination."
67586,"Provides free service to the low income families. Basic needs assistance offered to homeless women and children, and food offered to homeless men."
67587,"This fully volunteer staffed agency feeds anyone who comes to eat, serving approximately 300 hot lunches on each of the three weekdays the kitchen is open."
67598,Hunger and Homeless Coalition of Collier coordinates services to address the communities unmet needs.
67603,"This church based community effort provides breakfast and lunch for elderly, homeless, and disabled people. It also provides clothing, blankets, and other necessities when available."
67616,Provides advocacy for the human rights and welfare of developmentally disabled persons and offers direct services where needed.
67617,Group home for developmentally disabled adults that have behavioral needs.
67629,"A national Christian organization whose mission is to provide adequate, affordable homes to low income families."
67632,Fellowship House offers residential settings ranging from highly supervised group homes to more independent satellite apartments. All residences are integrated into the community.
67638,Provides Affordable Housing For Rent Or Sale To Low Income Families And Individuals. Offers Homeownership Training Courses.
67643,Provides apartment housing in Liberty City for low income people.
67809,Provides information and refferal for citizens of Volusia and Flagler Counties about available community services in the area.
68041,Communicable disease screening and physical exams for newly relocated adults and children with federal refugee status and those seeking adjustment of immigration status.
68043,Auxilio al Inmigrante strives to serve the needs of immigrants by vetting professionals who can take care
68044,"Provides assistance with citizenship applications, citizenship fair, citizenship classes, voter registration applications, passport applications, and waiver applications."
68049,Provides free diapers and kindness to children from birth to age three whose parents are working and not receiving federal or state cash assistance. Must be screened by local social service agencies.
68244,Provides job placement and immigration assistance to new immigrants.
68253,"Provides Vocational And Educational Training For Adults, Young Adults, Out Of School Youth, Dislocated Workers, Welfare Recipients And Refugees."
68273,Provides civil legal services to individuals who have been victims of housing discrimination.
68284,"Bedtime Bundles exists primarily to meet the most basic needs of migrant families living in Collier County, by providing them with clothing and food."
68289,"Provides children in the foster care system with clothing, after school activities, summer camp, and tutoring."
68294,"Direct assistance with rent, utilities, furniture, and clothing."
68471,The center offers various primary care services all under one roof. It facilitates referrals for specialized services to Jackson Memorial Hospital.
68489,The All Family Care Center provides community assistance and free health care to individuals and families. Offers free and discount medical and social services.
68592,"Provides comprehensive adoption services for prospective adoptive parents including adoption homestudy, newborn and child placement."
68605,"The Strengthening Families program provides parenting classes for families, case management, information and referral. Transportation to the participants of the program."
68622,"Provides Free Pregnancy Tests, Counseling And Referral Services. Sponsors A Spanish Language Support Group For New Mothers."
68627,Provides free counseling and material assistance to pregnant women who may be contemplating abortion. Also offers assistance to pregnant women and new mothers.
68635,"Provides free pregnancy test, counseling and referral services. Sponsors a Spanish language support group for new mothers."
68640,"Community education, peer education programs, teen clinic, reproductive health services."
68648,"The Sister Season Fund, Inc. is an effort by devoted Key West people to help locals employed in tourist related industries when a temporary financial emergency occurs through no fault of their own."
68651,"Provides financial assistance for the prevention of evictions, temporary emergency lodging, prevention of utility cut off, transportation, medical assistance and emergency food vouchers."
68653,"Our staff provides prescription, medical and temporary shelter assistance by appointment only."
68661,"BCHC is a permanent housing program for formerly homeless, single adults."
68662,This program offer protection and supportive services to victims of domestic violence and their dependents.
68733,Provides low cost child safety seats and assists with proper installation. Also provides free inspections for families who already have car seats.
68739,Project Lifesaver is a nationwide program that helps locate seniors and children with medical or disabling conditions that may cause them to wander away.
68743,"The Golden Passport program is for senior citizens 65 years and older, or Social Security beneficiaries under 65 years of age. The Golden Passport allows its holder to ride transit for free."
68756,"United Senior Consultants provides free referral services for assisted living facilities, nursing homes, rehab centers, and retirement communities."
68761,"Provides overnight accommodations for single women with no children, who have no place to go. Women are given 2 meals, shower, and clothing."
68775,Provides emergency shelter and case management for homeless males.
68779,"Provides transitional housing for homeless families. Services include life skills, child care, case management and job development."
68789,"Provides addiction services to addicts, high risk youth and their families. Also provides counseling, orientation, referrals and prevention services to the community."
68889,"Provides education, information, and comfort through support groups facilitated by family members who have years of experience in caring for loved ones suffering from mental illness."
68896,"Veterans meet monthly at general membership meetings to discuss current events and issues affecting veterans, and to arrange family and community activities."
68915,Provides support group meeting information for family and friends of people with a drinking problem.
68920,"A sharing and caring Breast Cancer support group with members available 24 hours a day, if needed"
68921,A support group for anyone who has lost a loved one.
68924,Narcotics Anonymous works to ensure that every addict in the world has the chance to experience our message in his or her own language and culture and find the opportunity for a new way of life.
68926,"To educate patients, families and caregivers in managing the disease, low sodium updates and medication."
68939,Recovery Project is a domestic violence program catering to helping batterers.
69020,"Parents Educating Parents in the Community provides information, training, and support to parents of disabilities in isolated, rural areas of Florida."
69035,Florida Breast Cancer Coalition Research Foundation provides information and referral to services for women with breast cancer. Also provides educational material on breast cancer.
69050,"Jewish Family Service provides individual, couples and family counseling for LGBT individuals and their families at all three of its counseling offices in Aventura, Miami Beach and South Miami."
69057,Support Group For Anyone Who Has Lost A Loved One.
69064,Monthly meeting of caregivers of individuals with a mental illness where family members can talk frankly about their challenges and help one another through shared experiences.
69070,A Group For Family And Friends To Learn How To Deal With People Who Abuse Alcohol.
69072,"Group for patients and family members to help them manage diet, medication, activity and improve health."
69079,This group is for family and friends of people who have drinking problems.
69082,Support group for alcoholics given in Spanish only.
69084,A support group for alcoholics given in Spanish.
69092,"Provides Outpatient Treatment. Services include counseling for substance abuse, individual or group counseling, domestic violence and sexual abuse groups. Meditation is also available."
69231,"Offers individual or group diabetes education classes covering diabetes self management, educational materials, and personalized diet plans."
69242,Support Group For Parents Who Have Lost A Baby At Any Stage Of Pregnancy.
69271,"The Weatherization Assitance Program assists by paying for air infiltration reduction, insulation, and water restrictors installations. Clients may be placed on a wait list as funds become available."
69293,The Haitian Family Stabilization program helps to reduce child and domestic abuse in the Haitian community. Seminars and training are offered for parenting and domestic violence.
69538,"Program offers sports and fitness programs, arts and crafts and other classes specifically designed for seniors, 55 years and older."
69579,"Kidz City Academy provides after programs, spring winter and summer camps, as well as assistance with homework, and private tutoring."
69602,"Program offers field trips once a week, enrichment activities, sports, and meals included."
69792,"The Lorah Park summer camp offers reading, math, science, culture, fitness, arts and crafts, nutrition, field trips, breakfast, snack and lunch."
69802,"The City of Hialeah Gardens Parks and Recreation Department offers various youth programs that include basketball, dance, chess, karate, swimming, soccer, baseball, and tennis."
69835,"Academy camp focuses on literacy, science, water sports and enrichment activities."
74293,Field trips every Tuesday and fun events every Friday.
74295,Summer camp programs through Orangewood Christian School.
74298,Summer day and residential soccer camps for girls
74301,"Afterschool, and Camp for Spring Break, Thanksgiving Break, and Christmas Break"
74303,"Activities include choral, guitar, harp, Instrument Museum, Orff and percussion"
74305,Art Camps in Downtown Orlando
74306,Art Camps in Kissimmee
74323,"When family caregivers have a family or medical emergency and need someone to care for their loved one, Share the Care can help."
74329,Offers dental referrals.
74338,"Family Practice, Pediatrics, Behavioral Health and Dental services are available at this site."
74341,"Free medical, dental, chiropractic care for the uninsured in Brevard County."
74344,"Provides a family centered, coordinated managed system of care for children with special health care needs and to provide essential preventive, evaluative and early intervention services for children."
74568,"Services include speech therapy, occupational therapy, physical therapy, art program, massage therapy and academic tutoring."
74573,To provide services both to the mentally and physically disabled to live and work in their community and home. To assist them in their daily needs which range from house cleaning to outings.
74583,Offers a program which teaches independent living skills to those who are legally blind. Provide Braille communication for individuals as well as making recordings of books and other materials.
74585,"Your Dixie County DMV offices provide vehicle registration, drivers licenses, ID cards, tag and title services for cars, trucks, trailers, vessels and mobile homes."
74593,Offers a variety of programs and services for those with learning disabilities
74597,Support for individuals with Epilepsy
74600,Emergency financial assistance for people with bleeding disorders
74601,"Provides education, information and referrals concerning Tourette Syndrome."
74603,Medical and Support Services for terminally ill adults and children and Community Grief Support
74604,"Services for terminally ill and their families. Services include home care, bereavement, support groups and community education."
74615,Crisis Pregnancy Resource and Referral and Adoption Services.
74626,Information and referral on personal finances for the Central Florida Latino community
74861,"Provides consumer credit counseling, assistance in obtaining and understanding credit reports, assistance in budget preparation, debt management programs, and debt mediation."
74867,Food pantries are located in all OCPS schools.
74873,Emergency Food relief
74879,Food pantry and limited financial assistance to resident in the 32113 zip code.
74882,To feed the hungry by giving groceries in specific area of St. Cloud and Osceola County
74883,Food and toiletry items for those in need.
74887,"Food Bank, NO emergency food."
74891,Provides a Food Pantry.
74904,Provides food and clothing. Call for info.
74906,Clothing Closet and Food Pantry
74915,"Seminole State College provides GED prep instructions mornings, evenings, and online."
75044,"School District serving Levy County, FL"
75047,Learning center with a variety of classess and GED programs.
75058,"Family Counseling, Group Counseling, Marriage Counseling and Individual Counseling services"
75059,"Outpatient mental health counseling available in office, home or school."
75060,"Provide group, individual, relationship and family therapy to clients in an outpatient setting. Also provides substance Abuse Counseling and support groups"
